Variable,Value
initial_oscillation_H1,0.6662762866762364
initial_oscillation_H2,0.6777443865697137
final_oscillation_H1,0.11220448792111026
final_oscillation_H2,0.20328081641938522
proximity_H1,0.7182473122492752
proximity_H2,0.6966612719113527
max_H1,56.30700700534305
max_H2,56.7690799635447
