343.15,C1,C2
343.15,296.15,296.15
343.15,296.30342863982946,296.0835769832334
343.15,296.13328487356523,296.29658294179336
343.15,296.3340230176058,296.24141381728714
343.15,296.1274548716083,296.19032527405574
343.15,296.3876151688387,296.34096302053786
343.15,296.4052933228326,296.352977871649
343.15,296.5754561370084,296.54852760392725
343.15,296.60810950663824,296.6756359113314
343.15,296.8193512643939,296.7332083462293
343.15,297.0656503707838,296.8742902767549
343.15,297.1952779477505,296.7567010456402
343.15,297.3387689160777,296.8432183769605
343.15,297.57516206523144,297.2300537358728
343.15,297.68799608630314,297.2788698472121
343.15,297.935305886602,297.49461958610857
343.15,298.17342575857214,297.64850204391837
343.15,298.5578413442932,297.8359263549488
343.15,298.6851130875795,298.24303659516886
343.15,298.93944226134965,298.1781577860633
343.15,299.3200492518811,298.3036520046316
343.15,299.4500590139577,298.7856612744583
343.15,299.73704069658737,298.6937959045244
343.15,300.094856815735,298.91890043646373
343.15,300.4259774396482,299.42769306776364
343.15,300.5160110115712,299.4697746173474
343.15,300.80920142169373,299.88634671427025
343.15,301.29957651290647,299.98052655925494
343.15,301.4688726134508,300.09895434729333
343.15,301.68286372340043,300.58947774935973
343.15,302.08953463830443,300.8405033460922
343.15,302.606622652726,300.99191415259827
343.15,302.7861560427415,301.2095957753997
343.15,303.28384208568133,301.465373152257
343.15,303.451691871531,301.6608402275942
343.15,303.7775552115693,301.9514374750742
343.15,304.0455308603844,302.4129358880679
343.15,304.6551100478934,302.6134380978715
343.15,304.9430003288545,302.7235691334747
343.15,305.1177670311446,303.1163888311946
343.15,305.7651359497347,303.43974268517934
343.15,305.863339092349,303.546768181445
343.15,306.36030091051765,303.8843052288773
343.15,306.55479577596145,304.1724967005525
343.15,307.14407818158384,304.56781307763157
343.15,307.2830843782856,304.7284128624314
343.15,307.7472855310906,305.15077554834767
343.15,308.1960502861727,305.35135279853216
343.15,308.4073268143386,305.71173439538387
343.15,308.7007728554277,305.8665113122303
343.15,309.1854715710733,306.2298196310507
343.15,309.654806333415,306.5368713814545
343.15,309.9115107069315,306.9009270794678
343.15,310.4014938915881,307.1729697180013
343.15,310.6177513739588,307.33139183301506
343.15,310.9416860239249,307.89790882562704
343.15,311.4736010222887,308.0106675838495
343.15,311.82636912476556,308.29199233992233
343.15,311.9674527872663,308.60085430084183
343.15,312.56735993635175,308.71871982399244
343.15,312.9299017809007,309.1052857696702
343.15,313.1042843542236,309.3641884503658
343.15,313.44194016242625,309.825877944482
343.15,313.9682645526904,309.81187189581726
343.15,314.27581980025604,310.41205979693734
343.15,314.43862354191265,310.6124211183943
343.15,315.0527148876739,310.9906243285191
343.15,315.4234969590614,311.2770608409741
343.15,315.6815187225092,311.5400150819057
343.15,315.92799876468945,311.79857737161865
343.15,316.59506657625315,311.93233232193086
343.15,316.72791440743777,312.40921549639984
343.15,317.06388728306325,312.6938275650864
343.15,317.4339093131896,312.89271783012725
343.15,317.9087284003626,313.1224252407625
343.15,318.1814755153449,313.4516215895316
343.15,318.5158215312614,313.9950797745141
343.15,318.83158274767703,314.0621600057916
343.15,319.25290164956596,314.3236305111068
343.15,319.7842470903433,314.61669091345857
343.15,319.97455850160185,314.7453415809648
343.15,320.21492403660176,315.1188455987483
343.15,320.7124986914623,315.5115284968685
343.15,320.92503406046757,315.7320171786969
343.15,321.36102161891284,315.98452330441665
343.15,321.4974910339153,316.34669266397725
343.15,322.1169738704963,316.62332599179814
343.15,322.26453561758035,316.7524885462747
343.15,322.664921936838,317.1924238775265
343.15,322.89403106761944,317.4785164331708
343.15,323.33088851825255,317.81606558420106
343.15,323.51158905215317,317.88175379729813
343.15,324.0440399952766,318.1786818070897
343.15,324.3448629133945,318.46203807584595
343.15,324.6622274881428,318.847254388671
343.15,324.89419600789273,319.1512247618621
343.15,325.17684491290635,319.1385529377584
343.15,325.58367825895317,319.60806867661876
343.15,325.87050607308356,319.7958950746798
343.15,326.31213749773906,320.07844648092265
343.15,326.50048900640536,320.4987842764341
343.15,326.9007640865455,320.7310670025305
343.15,327.12830721680314,320.9745334885313
343.15,327.5369862203855,321.1197748331373
343.15,327.6451953667869,321.45325556452934
343.15,328.2813828326756,321.6222168631713
343.15,328.3695231613233,321.95772907424254
343.15,328.5668675867483,322.1097432494189
343.15,328.89567883451525,322.7160420393493
343.15,329.15807861314795,322.65327159973083
343.15,329.48063680579105,322.9851493003806
343.15,329.88977289085835,323.1773864986025
343.15,330.0272709659377,323.29065415946206
343.15,330.59529444367604,323.6313506022962
343.15,330.52750067523,323.9400142415282
343.15,331.13723977314265,324.1482834505277
343.15,331.3593231164858,324.39808567013364
343.15,331.46563584542577,324.7356397081558
343.15,331.95492480399867,324.9341045399328
343.15,332.01918515967634,325.01937420352084
343.15,332.35503079566513,325.3373822164843
343.15,332.6798057257248,325.60083739207647
343.15,333.04241197618217,325.69996995590924
343.15,333.2049368033733,326.0130632323047
343.15,333.549847004973,326.36296096053127
343.15,333.96985041709013,326.5571362692962
343.15,334.14873570452926,326.8550281618955
343.15,334.49023013109786,327.15149419083133
343.15,334.59834656126077,327.38444305349515
343.15,334.8356802711487,327.546093016516
343.15,335.1287075693134,327.8616974591211
343.15,335.4171083135653,328.0388513842936
343.15,335.5242832389587,328.1927736090777
343.15,335.8890464526663,328.3994011152021
343.15,336.27559841358993,328.48685434356366
343.15,336.2698358846481,328.86376970149956
343.15,336.6378371106755,328.95409333370577
343.15,337.0245550880327,329.1364844455177
343.15,337.0904059151212,329.39222613707983
343.15,337.32198913459837,329.70592127306617
343.15,337.64577724107335,330.108353868857
343.15,337.86382099025604,330.349444074743
343.15,338.1374691580131,330.2905489476404
343.15,338.27892302843867,330.6491018851264
343.15,338.8042821012082,330.9257611953934
343.15,338.85000533066636,331.03620271475734
343.15,339.0902475432317,331.22357486303446
343.15,339.3444070153249,331.4711970860625
343.15,339.71805063437915,331.6363399543232
343.15,339.8121494474494,331.6442617226383
343.15,340.13881857884905,331.9856093488495
343.15,340.21571225882633,332.28525105859757
343.15,340.5033614779382,332.47449055879287
343.15,340.8054662079596,332.69889682512763
343.15,341.1516936199669,332.86961279434024
343.15,341.11175040514524,332.93081355953626
343.15,341.4944107952252,333.26805414885143
343.15,341.70186118522173,333.63623975762704
343.15,341.7636071732579,333.5830105710645
343.15,342.2547250891801,333.9598789255022
343.15,342.46333845414796,334.2027011166421
343.15,342.48380213903073,334.1994895548273
343.15,342.7683322670728,334.5643516732965
343.15,342.9435735844405,334.63122478263557
343.15,343.12455360536245,334.853452404405
343.15,343.4440372142141,335.1057517290742
343.15,343.6182503922603,335.3120609085668
343.15,343.925613824996,335.4081995823116
343.15,344.0296681177107,335.6730049606277
343.15,344.2146308585711,335.7377426664719
343.15,344.28223403257664,336.02531009104285
343.15,344.7765529251019,336.2626532144244
343.15,344.85138576501595,336.21418062702475
343.15,344.9635862374102,336.43437523535516
343.15,344.9909089942675,336.5644670484379
343.15,345.3549218172885,336.78979125237885
343.15,345.5741269300134,337.10629590506807
343.15,345.9554952406618,337.1782296396203
343.15,346.0988088684985,337.32605174804837
343.15,346.01373045745987,337.68382810135023
343.15,346.3019404817688,337.9333812426145
343.15,346.5675900695168,338.0619304676686
343.15,346.879497527355,338.17036840915523
343.15,346.8097854859758,338.24484820882094
343.15,347.1730012110509,338.38060600475603
343.15,347.4231907545337,338.5243081876049
343.15,347.5799367480298,338.84917975344274
343.15,347.85262275502464,338.99259212608183
343.15,347.86877116182626,339.2043133370597
343.15,347.9690723850406,339.296300585187
343.15,348.3682148803207,339.2533421890621
343.15,348.18321267145944,339.61194857382236
343.15,348.6108385831262,339.8888280669401
343.15,348.79392683923373,340.00034644335955
343.15,349.01532452710796,340.21515469951703
343.15,349.2351098662591,340.38328455540847
343.15,349.48133780159344,340.5370664032516
343.15,349.4876423753684,340.66521821971605
343.15,349.5724691360072,340.93173028912486
343.15,349.74555303894437,341.0201951130799
343.15,350.0586447400751,341.0479428836397
343.15,350.17217850740263,341.199345203586
343.15,350.1685610096006,341.4767736695142
343.15,350.2067425070657,341.3302131403952
343.15,350.51978926710126,341.61428771479245
343.15,350.8525177661804,341.92751910387796
343.15,350.72276936149984,341.87973428007336
343.15,351.1091926069853,342.12004411673524
343.15,351.36066557378535,342.0869012993522
343.15,351.3851325230724,342.520374579098
343.15,351.71597217819607,342.40844714975
