303.15,C1,C2
303.15,296.15,296.15
303.15,296.26280094921333,296.23659380332685
303.15,296.2732472263556,296.25570327894786
303.15,296.1349125734925,296.1871821014847
303.15,296.2749253526691,296.41520134225703
303.15,296.3370825802234,296.3693688919572
303.15,296.5011523100514,296.37080474208614
303.15,296.45634753940215,296.34271655291445
303.15,296.4975098303366,296.3450536261689
303.15,296.7237274119788,296.56102475776385
303.15,296.72777680445887,296.65896818587777
303.15,296.9425080798343,296.72881200765215
303.15,296.99615674704677,296.95713482539287
303.15,297.1885310001345,296.9437415774414
303.15,297.17499716912744,296.90278161115464
303.15,297.5079654537129,297.06592425819696
303.15,297.6532072080878,297.3689847584857
303.15,297.7249509847904,297.61943272519164
303.15,297.990084251594,297.6397471616508
303.15,297.9599916949,297.6752625552712
303.15,298.30077766401143,297.8852015678501
303.15,298.36239005296284,298.0129197838168
303.15,298.64032816099956,298.1002008045371
303.15,298.7221015892216,298.1874977206414
303.15,298.9638217738178,298.40982746482325
303.15,299.1647054585378,298.50334888675684
303.15,299.2745928230861,298.76065963655765
303.15,299.6267185464641,298.8158085901951
303.15,299.66750624202353,298.7929710821153
303.15,299.8778031401788,299.12128551893585
303.15,300.02288010233565,299.1724049643905
303.15,300.17871495392393,299.46277899789425
303.15,300.4268423207712,299.512201997317
303.15,300.64768149426,299.7678949035675
303.15,300.96872787125324,299.88136938577026
303.15,301.10616954138015,299.9604160212375
303.15,301.08774286317663,300.15883345537765
303.15,301.31496550707135,300.39335412062775
303.15,301.26300338518007,300.5156954981959
303.15,301.56538765046827,300.55924388726845
303.15,301.7159121637794,300.7109651330134
303.15,301.8232083781296,300.98363264843215
303.15,302.1395983251445,301.0897059330589
303.15,302.2290866775159,301.24319075650675
303.15,302.42417478753816,301.23106040548487
303.15,302.85636327463766,301.3935715261321
303.15,302.54360726179993,301.7376547360726
303.15,302.6765359049048,301.81927693743853
303.15,302.95817521140435,301.8403851837525
303.15,303.03595920666334,302.02239894882956
303.15,303.29095400915594,301.9194904758696
303.15,303.3405519184118,302.08539037009774
303.15,303.32024843448403,302.2924528224788
303.15,303.3534875374334,302.2883695813086
303.15,303.44197825337,302.5031067404993
303.15,303.79133746833213,302.6020744686737
303.15,303.72690530287736,302.8191852592103
303.15,303.7701288514283,302.6207849926576
303.15,303.9495825799117,302.9142448875532
303.15,303.9931658853024,303.0230371330265
303.15,303.94329663794804,302.98659146569713
303.15,303.9797908667592,303.09303738262446
303.15,304.1608512641605,303.3128223883625
303.15,304.161278914537,303.1805360582029
303.15,304.53014852407165,303.27170813953774
303.15,304.2130288219933,303.4560211498092
303.15,304.2861714650191,303.6569265391017
303.15,304.308782907161,303.52022551003824
303.15,304.2300992244568,303.83784785406425
303.15,304.4072914322269,303.68511954227733
303.15,304.4506973614894,303.71192880627217
303.15,304.3877990446416,303.69597379952535
303.15,304.5270166165754,303.87738415186703
303.15,304.6155413277227,303.96329796427506
303.15,304.54382888626736,304.08186254949015
303.15,304.83658380787165,303.84620802647555
303.15,304.5265940910519,303.9576262987992
303.15,304.7357518078448,304.0512378504899
303.15,304.6634714581406,303.92377065671747
303.15,304.46319254086364,304.1341707962188
303.15,304.6286138143317,304.3279958816152
303.15,304.6930059915057,304.26128656911084
303.15,304.5868507757017,304.3142280645079
303.15,304.6376449081772,304.15450532749793
303.15,304.7451170786074,304.2892898987348
303.15,304.68816897472334,304.38359906840856
303.15,304.42757793630255,304.09092147685976
303.15,304.5311776374597,304.40083160570606
303.15,304.51104810681863,304.1810806293441
303.15,304.6303347474197,304.2026000369982
303.15,304.35031954012277,304.2392838171421
303.15,304.41649837670013,304.2593000731389
303.15,304.6512227180197,304.29577001616707
303.15,304.473354536451,304.1989376428969
303.15,304.5619522161339,304.2524722486901
303.15,304.5760499970876,304.1762889535883
303.15,304.5410343405814,304.33339450829516
303.15,304.3969412996635,304.08264000136023
303.15,304.6259373067316,304.23591291986537
303.15,304.4343209072885,304.166113812417
303.15,304.244995459358,304.2938917048178
303.15,304.43015716894115,304.0134689319604
303.15,304.2315284966796,304.2048005837917
303.15,304.3519676970923,304.1448716110638
303.15,304.2492316331323,304.2469514491746
303.15,304.25970177820477,304.11492698525313
303.15,304.2810595430735,304.16921073473515
303.15,304.2663104300722,304.0806796709925
303.15,304.2490512195871,304.1699631602198
303.15,304.108948864304,304.1500099962073
303.15,304.07799280711305,303.88324071814736
303.15,304.0945210361043,304.02112054341853
303.15,304.08607629593445,303.9370013398952
303.15,304.11345245489736,303.8975204996172
303.15,303.9990493073181,303.8684788756349
303.15,303.9921557297684,303.9114391729216
303.15,303.8423107540389,303.9719212953668
303.15,303.8903714785895,303.9262703720514
303.15,303.8707496502263,304.1001437141499
303.15,304.04627491298197,303.77659023041684
303.15,303.6802451651594,304.03237710683294
303.15,303.8315778417031,303.83235647030284
303.15,303.82163544799,303.93852030815964
303.15,303.6768802930237,303.7577471159079
303.15,303.7809855971021,303.625476875524
303.15,303.6174958219337,303.8070228901785
303.15,303.69669321516034,303.9615043085977
303.15,303.5761375537579,303.7217308896987
303.15,303.63225678478756,303.83252912164653
303.15,303.37316867426273,303.81435257799376
303.15,303.60074231427524,303.75032973428046
303.15,303.438012210073,303.64801286219875
303.15,303.58932580003477,303.68403549272506
303.15,303.4503414084107,303.31911892774735
303.15,303.50397890690016,303.62173917159197
303.15,303.45608039809355,303.62060266099195
303.15,303.3308268199465,303.5592372796637
303.15,303.3612758466644,303.41244473127244
303.15,303.2715550034139,303.5486030348974
303.15,303.45247353164456,303.5746528033698
303.15,303.2331139496266,303.5133043288012
303.15,303.2515496024257,303.4769187272069
303.15,303.3054966362664,303.4031851654237
303.15,303.2228045218178,303.36158549919145
303.15,303.4023709167099,303.4018142674826
303.15,303.16542504656985,303.5907029733726
303.15,303.0903288558138,303.3715001307057
303.15,303.02890199730365,303.2015193870772
303.15,303.3703257721539,303.4161720651492
303.15,303.0033169035786,303.39088769464576
303.15,303.14617229923226,303.06026719597975
303.15,302.94426832032997,303.3640340460561
303.15,303.22551394787666,303.2055459975932
303.15,303.2392412338734,303.20986511532163
303.15,303.0767650912508,303.2580335141772
303.15,303.1114008577859,303.49132756201345
303.15,303.0605585049604,303.31024561760347
303.15,303.02185336395365,303.29728463152503
303.15,302.9868157339278,303.14888472525433
303.15,302.82908907364856,303.32138398433193
303.15,302.97005675196544,303.1468734094047
303.15,303.01827101857214,303.23664362129625
303.15,303.0787819615892,303.28598102901634
303.15,302.91682329263773,303.2194241155545
303.15,303.22285188894625,303.26384510508024
303.15,302.9587832944727,303.2227964983635
303.15,302.86347217739007,303.1166758452155
303.15,302.9558844900317,303.095630242752
303.15,303.05374888176453,303.1957610582235
303.15,303.0769289886372,303.1741237995084
303.15,303.0903417038689,303.0853032118854
303.15,302.75263618286266,303.2990046939613
303.15,302.8490146790784,303.29352696608277
303.15,302.9986712366152,303.2822321749494
303.15,302.86919021812275,303.2538023151906
303.15,302.92459270008976,302.92614342801465
303.15,302.90415049945165,302.9247882595292
303.15,303.0664436157599,303.18080845850596
303.15,302.99003222526426,303.0939254738632
303.15,302.8624905198626,303.1122042626591
303.15,302.98627391829194,303.08017690703014
303.15,303.1134929997929,303.2652035930735
303.15,302.9046207696862,303.1219671259622
303.15,302.9795683292973,302.91058176037825
303.15,303.0150889222007,303.2872016832981
303.15,302.9895081537916,302.969673654667
303.15,303.1116938879688,303.2111738061986
303.15,302.9251229317257,303.119481208684
303.15,303.0929437041914,302.9274396825018
303.15,303.0005369055691,302.875401954654
303.15,303.0567905498701,303.1602335647899
303.15,303.00634928090426,303.1686959919463
303.15,303.05156624909625,303.1525376726606
303.15,302.9715534744629,302.8289496759641
303.15,303.0238277295879,303.15756438576324
303.15,302.94237110578797,303.14291012777545
303.15,303.04130398978396,303.14429655736035
303.15,302.9328957626588,303.2022416340268
303.15,302.9803437083273,303.0700647483423
303.15,303.00567097857623,303.05324754697574
303.15,303.11980194519333,303.06551932541385
303.15,303.0700029298207,303.2183070826447
303.15,303.1369024541658,303.02106697179653
303.15,303.17456112177837,303.1933264149091
303.15,302.9932991820522,303.20201570636834
303.15,303.1304873120178,302.85160777848614
303.15,302.97841760047186,303.2295786366224
303.15,303.10241771195024,303.22895846100437
303.15,303.13934196405376,303.24951940552296
303.15,303.0793831820278,302.968922114799
303.15,302.9328968999694,303.1741454222477
303.15,303.07953085631203,303.0916571533833
303.15,303.14149727743745,302.99058370279005
303.15,302.95400923622935,303.06905212366115
303.15,302.8897173573431,303.03057269688173
303.15,302.9005672095044,302.9580805155494
303.15,303.1529216611391,303.29066679809614
303.15,302.89296182064334,303.27179046734585
303.15,303.1605494983034,303.1274160207252
303.15,303.17025736815987,303.1808827114692
303.15,303.11533649528286,303.1710586530675
303.15,302.950610217942,303.1070882854529
303.15,303.17053955113755,303.0991008921908
303.15,303.0727570866227,303.12457463763013
303.15,303.1412178155723,303.111841921482
303.15,303.0927032601075,303.27443596065785
303.15,303.1163300504472,303.06976281089294
303.15,303.15683140900444,303.14891651808966
303.15,303.13112429454145,303.0746671265122
303.15,303.1109175540905,303.2062994348789
303.15,303.0377053690553,303.08272351085265
303.15,303.14514263581583,303.22044773641204
303.15,303.16359863949685,303.3582149888853
303.15,303.217825651311,303.1928014937359
303.15,303.0254427335796,303.20060324235413
303.15,303.0145431098337,303.04235804446245
303.15,303.33882621285665,303.1719755714571
303.15,303.24550636949675,303.3578642616625
303.15,303.0997020919783,303.0034875348099
303.15,303.20373414151277,303.26181629941556
303.15,303.113182657011,302.9710672531103
303.15,303.0349261074412,303.19026717536497
303.15,303.15047152050295,303.332997084597
303.15,303.1204146855333,303.14987530942665
303.15,303.24476441495403,303.42089780049264
303.15,303.0946788417486,303.18749151267525
303.15,303.24361680273256,303.0106062583909
303.15,303.36959337436156,303.14565053041446
303.15,303.2093728052486,303.0942776480789
303.15,303.12807334992976,303.2234257353356
303.15,303.1582887626981,302.980028269789
303.15,303.295507415439,303.19239911486835
303.15,303.1701427151114,303.0895015239845
303.15,303.3665907716638,303.3348920267921
303.15,303.0578491136064,303.27598670243856
303.15,303.0437964225639,303.2721404439598
303.15,303.1227631773582,303.18501760657597
303.15,303.14123980300366,303.211270412305
303.15,303.04029706689823,303.38342325184675
303.15,303.17690409607354,303.03842654844846
303.15,303.10686673497986,303.2181065850972
303.15,303.2270777276482,303.3384772316905
303.15,303.24171304533684,303.2215959986742
303.15,303.17231713555424,303.1272707083132
303.15,303.19195163734156,303.3347983023985
303.15,303.12465400327704,303.1716675306835
303.15,303.0602584112689,303.3063425622646
303.15,303.25867743279355,303.1049552592727
303.15,303.31589358249124,303.19229658309206
303.15,302.9979317168507,303.16250737736493
303.15,303.09099836816546,303.0626771579432
303.15,303.27608144214076,303.25458533263594
303.15,303.1222458000647,303.2215580089292
303.15,303.26811739180147,303.2221844404343
303.15,303.0972668377078,303.05735792160334
303.15,303.12413655295893,303.3294220324393
303.15,303.1691812292758,303.2690418644489
303.15,303.2874602430518,303.267660895139
303.15,303.2587140943972,303.25484630706217
303.15,303.18871514119473,303.0742684898022
303.15,303.0668412122252,303.13096726886954
303.15,303.10704219978425,303.20639087671873
303.15,303.30534729967786,303.3540889268733
303.15,303.1008124824979,303.2026883918689
303.15,303.17210017837556,303.275515952232
303.15,303.1472825620891,303.1628788150706
303.15,303.2204407130601,303.1572321465533
303.15,303.1771277307479,303.0565802247887
303.15,302.9792860398441,303.2064481657491
303.15,303.1619745031719,303.2320083377917
303.15,303.1636181264069,303.04571861949665
303.15,303.02614644467684,303.2466503467784
303.15,303.28031749572034,303.1546456503014
303.15,303.07241556030147,303.2639151244864
303.15,302.9891440069625,303.3271534332989
303.15,303.11267309523663,303.1136720338983
303.15,302.9634290014928,303.33090075829705
303.15,303.25053094970093,303.2254939388219
303.15,303.2578356466678,303.3218430302471
303.15,303.1493698045705,303.25350572817956
303.15,303.0169291165706,303.0641941583339
303.15,303.11642047462135,303.0729212658338
303.15,303.310472683779,303.12958391478014
303.15,303.153523907198,303.2399495861777
303.15,303.12192748790676,303.06681352575924
303.15,302.9617235150801,302.9531147268543
303.15,303.1918274175961,303.1435049209779
303.15,302.9918489069944,303.2588053427299
303.15,303.3738800400997,303.22385738695147
303.15,303.05658314020513,303.12356916897727
303.15,303.2486105154461,303.1953743549997
303.15,303.2200542495608,303.2696282720144
303.15,303.1402910456526,303.15440176752577
303.15,303.20229624434626,303.221197491312
303.15,303.1462161510648,303.3459198093755
303.15,303.2258941810203,303.2504785633611
303.15,303.2971102149537,303.0120433378036
303.15,303.2520781168437,303.19674475200543
303.15,303.0235856610264,303.1678006855723
303.15,303.31811907402573,302.99622223172423
303.15,303.25286692415295,303.2981549848387
303.15,303.03856577914445,303.1091965538375
303.15,303.1252336772096,303.0524724565777
303.15,303.16030931131405,303.00828146439324
303.15,303.16795335085516,303.16265538554114
303.15,303.0799600729155,303.1239004646777
303.15,303.003270730271,303.30081308664495
303.15,303.0700553451175,303.2201217067734
303.15,303.1085507039638,303.1609664390836
303.15,303.20833144073555,303.16012180108794
303.15,303.1166862779244,303.2736064558929
303.15,303.1811358051673,303.3166411193587
303.15,303.1716015143272,303.1199858623563
303.15,303.12769404358266,303.01191759991684
