333.15,C1,C2
333.15,296.15,296.15
333.15,296.08423917648287,296.13550426328635
333.15,296.1657343132598,296.0836726123807
333.15,296.3024683955266,296.31761813869537
333.15,296.27221968002056,296.3115838489328
333.15,296.4534535485362,296.2860350288695
333.15,296.4194379120071,296.63676524169625
333.15,296.4734964747466,296.59963976087414
333.15,296.75524536978753,296.5761844703575
333.15,296.81599143720814,296.54320272262396
333.15,296.99437474531646,296.6956568302609
333.15,297.07164461635807,296.9027010527161
333.15,297.44313854484375,297.0275145857126
333.15,297.54678711084915,297.32201518126027
333.15,297.85524344782135,297.3469951929982
333.15,297.97491320060215,297.4981855781504
333.15,298.22882327673426,297.7470007775247
333.15,298.47328599343234,297.7119540145368
333.15,298.6343849090616,298.1762926024687
333.15,298.80162677199917,298.0802198908955
333.15,299.24297297998856,298.38933865520255
333.15,299.4907866412777,298.70992572728113
333.15,299.73729211225526,298.94022436222195
333.15,300.05632040648015,299.2239832223955
333.15,300.2383600595136,299.3504487574829
333.15,300.48144266603634,299.65139614701985
333.15,301.11742040946234,299.7735833794163
333.15,301.1459089761931,300.07184031301534
333.15,301.645279805938,300.09116409008294
333.15,301.99723807376864,300.62743760911883
333.15,301.9390540004943,300.7585370359177
333.15,302.46822158894463,300.95820877592496
333.15,302.83387409645013,301.17083362309506
333.15,303.04423271765904,301.49759934326585
333.15,303.34974468432273,301.8570597493161
333.15,303.90623425541855,302.069922563532
333.15,304.37801717738915,302.35165163217306
333.15,304.56524379741495,302.4307132040592
333.15,304.82680580719926,302.87926092248586
333.15,305.34960921546036,303.2075573304471
333.15,305.58674332269,303.4995868413735
333.15,305.87108580126727,303.5821330193253
333.15,306.38497723433335,303.9143366174634
333.15,306.6657415574851,304.40779718259864
333.15,306.9420319991179,304.363862706305
333.15,307.22505260096733,304.90245124726925
333.15,307.78817865459354,305.0736345154811
333.15,308.1988853717749,305.29498304908947
333.15,308.40716263007823,305.75047719603356
333.15,308.7582232772324,305.9656836896177
333.15,309.19351731568025,306.13886259047234
333.15,309.80414087374044,306.61066802121917
333.15,309.8847202855318,306.79717277900727
333.15,310.42174922997526,306.95318987383496
333.15,310.61631397711733,307.4120074682627
333.15,311.10812056681453,307.7719755060696
333.15,311.43180091465723,308.01542906012816
333.15,311.693436077869,308.27130032503584
333.15,312.2070073379243,308.34054641223764
333.15,312.6162062599272,308.9498682900287
333.15,312.99319362846546,309.19717589017824
333.15,313.21821746134214,309.39155781028296
333.15,313.5753388285971,309.7979425914904
333.15,313.90599950188255,309.82089067296283
333.15,314.4017919507136,310.35548230251044
333.15,314.7129506040635,310.6136102782825
333.15,314.97699370190855,311.02016170007454
333.15,315.2405583214858,311.07409021204177
333.15,315.7831487117796,311.5669199424865
333.15,315.89589191270085,311.75641629891226
333.15,316.37399496174834,312.04428254709035
333.15,316.7736548977888,312.2400462613809
333.15,317.08137087406357,312.6633351944117
333.15,317.4261568478624,312.93091162635204
333.15,317.75718516294666,313.01652673504293
333.15,317.97110495716606,313.6648131591058
333.15,318.6288534554291,313.67173433413444
333.15,318.8266158395187,314.05950329928356
333.15,319.30211659871753,314.32800067951524
333.15,319.46824905262804,314.66212478370835
333.15,320.08471665890875,314.679163536561
333.15,320.28003909550625,315.22845339275915
333.15,320.5496963308518,315.3269358159332
333.15,320.97860170528895,315.88528606083537
333.15,321.32325254350724,315.8851550947245
333.15,321.6643429896017,316.1934081560729
333.15,322.056423382385,316.4527428277958
333.15,322.29741501876794,316.81723590442374
333.15,322.6121081631012,317.0110764185659
333.15,322.9335731615097,317.4190909318627
333.15,323.426492283521,317.6932366555615
333.15,323.5124140586511,318.05953519305416
333.15,323.88673205311227,318.0657914980976
333.15,324.3975379742653,318.3556682645349
333.15,324.7706088330919,318.7229962187346
333.15,324.998204254067,319.1028324399983
333.15,325.486385605599,319.31633659276815
333.15,325.535179714798,319.67757645687817
333.15,326.10722616761274,319.9167437564022
333.15,326.3280552261477,320.01533549182795
333.15,326.5105832074403,320.3216085734419
333.15,326.8255036180568,320.63366782091407
333.15,327.09732688843405,320.7423544682158
333.15,327.48191726753373,321.1117719144917
333.15,327.7348771853685,321.3323147521873
333.15,328.1347754459815,321.7496185314432
333.15,328.3566887736339,321.803705122255
333.15,328.54554093575155,321.9861091683332
333.15,328.9312140539217,322.5060510930164
333.15,329.1643274496322,322.5824648022475
333.15,329.5151561510158,323.11230098353303
333.15,329.7536722124731,323.1674171597039
333.15,330.00753068776913,323.60208676282224
333.15,330.51302179231794,323.66052283436056
333.15,330.5772095506971,323.90263924410294
333.15,331.1408947406513,324.0542489713097
333.15,331.40900005285556,324.26222180838823
333.15,331.6934325710446,324.74966918554566
333.15,332.1113878348428,324.76101040030204
333.15,332.30035620352027,324.98144549486824
333.15,332.50806739968465,325.52122081622895
333.15,332.7508868147875,325.59873413360947
333.15,333.11464987066455,325.8350429873364
333.15,333.2791526464407,325.9586688364013
333.15,333.4997712557281,326.31240710986026
333.15,333.72110763440924,326.58847576374103
333.15,334.0393170197517,326.90209882983856
333.15,334.39019300996165,327.0285541888309
333.15,334.49360869141657,327.2960147826564
333.15,334.8961140467476,327.6125796544388
333.15,335.12539428020847,327.5907935976956
333.15,335.3182069851859,327.9813854028893
333.15,335.7341550623221,328.1401485744901
333.15,335.8954604476629,328.3103386652446
333.15,336.2100734654087,328.60330999482164
333.15,336.4007273246092,328.8929363939595
333.15,336.551730155072,328.93640596093604
333.15,336.82409252302114,329.2749126151767
333.15,337.0936782429804,329.5687347147842
333.15,337.6041038969008,329.794404265532
333.15,337.5829563802562,329.96328325558517
333.15,338.1145707364174,330.0789177353197
333.15,338.32413918695113,330.3475293658171
333.15,338.5372302753037,330.64199542372353
333.15,338.75791663509324,330.9065942352843
333.15,338.70928811629824,330.9998330808526
333.15,339.1528672765355,331.23703365378816
333.15,339.3514817830238,331.45656006454925
333.15,339.5858622507165,331.45307544830666
333.15,339.7364892531488,331.95719699639284
333.15,339.8038222696331,332.0647882593851
333.15,340.29455231734283,332.31955570989436
333.15,340.2977646749611,332.337024253583
333.15,340.41107323102125,332.698991826263
333.15,340.5490993810823,332.90633862986476
333.15,340.86852057206914,333.1145086028873
333.15,341.01608385673325,333.17543095149745
333.15,341.0508356577302,333.4988181248871
333.15,341.1244390415473,333.6433739871429
333.15,341.5169030168117,333.95845744345013
333.15,341.76942416937845,334.0238679113858
333.15,341.74764170864404,334.29837749080485
333.15,341.6787562343025,334.42239871586
333.15,342.0749764399298,334.6902500079071
333.15,342.0126908467545,334.75300960175224
333.15,342.0362519722382,334.9164713237528
333.15,342.1892648634192,335.0096497991567
333.15,342.1755427343957,335.4468967643632
333.15,342.3514734919632,335.66330432126307
333.15,342.5458899155542,335.7814690754766
333.15,342.62155227946,335.8713761069471
333.15,342.73628147225486,336.1036565676564
333.15,342.6641846163301,336.33315664198415
333.15,342.71019764121246,336.3063246857633
333.15,342.84682910556626,336.75477407686014
333.15,342.781177642067,336.74163849092037
333.15,342.7507563837228,336.8799256504603
333.15,342.8889298269197,336.94695221819336
333.15,342.8606997835982,337.3359903943202
333.15,342.6626665638141,337.4591916758757
333.15,342.8047824042076,337.5270989142339
333.15,342.7933960776736,337.83056459402786
333.15,342.733072607258,337.92587077552463
333.15,342.82372235426664,338.06868482474493
333.15,342.7783609403939,338.2402111807557
333.15,342.6696089307021,338.51966139094935
333.15,342.7990287509955,338.4785120179058
333.15,342.61237847856125,338.7035423084079
333.15,342.5746513359128,338.8137498200838
333.15,342.50099839241443,339.1239458007881
333.15,342.70514609644613,339.1341959921914
333.15,342.51830523261884,339.4573539161544
333.15,342.34875363173046,339.47125990523665
333.15,342.48311946484085,339.72557613898516
333.15,342.2891009505806,339.74278565421554
333.15,342.3600653870438,340.0784871032698
333.15,342.1012230970969,340.08618840018397
333.15,342.2826372097931,340.2799560762885
333.15,342.15477538566273,340.5414724848643
333.15,341.7610261538523,340.505933868631
333.15,341.8290480514196,340.535381360032
333.15,341.8189475109558,340.79087744419314
333.15,341.6535565442459,341.1080770945838
333.15,341.6750460406001,341.01812058873406
333.15,341.7024371773027,341.20848815585794
333.15,341.59212423151564,341.16566324323975
333.15,341.5243518287662,341.2911652448019
333.15,341.49136035190554,341.45875519195886
333.15,341.2822685071025,341.7750792677553
333.15,341.2781522127144,341.7458261979477
333.15,341.2357998134515,341.69211133428445
333.15,341.2215645803914,341.73619267892985
333.15,340.92455862798687,341.9791412720195
333.15,340.9872497589695,342.17012987006325
333.15,341.0263630591012,342.09725248483363
333.15,340.70698887347123,342.2426891550138
333.15,340.5745734829404,342.2637333173245
333.15,340.5670009205887,342.4057588075867
333.15,340.5707420539635,342.4999153936007
333.15,340.4764568442227,342.6533797895157
333.15,340.36221084478416,342.83152235475035
333.15,340.2852098197282,342.5414421443265
333.15,340.4065404887436,342.6381646502523
333.15,340.05307830869003,342.6861147897835
333.15,340.0452565078402,342.7064469118913
333.15,339.90027484494186,342.832089229328
333.15,339.9738542857244,342.7899622093113
333.15,339.9090373996984,342.7261444713072
333.15,339.6851191380256,343.16000820082894
333.15,339.6860345605644,342.7519700010023
333.15,339.6570557055135,342.9530956297515
333.15,339.3688980487954,342.8817173282711
333.15,339.6062010792977,342.8372305314596
333.15,339.4520364802046,342.8541963186335
333.15,339.26847024428207,342.9872358940664
333.15,339.294685217208,342.74817700136
333.15,339.1838835167848,343.0378624875758
333.15,339.13416022208384,343.028436471671
333.15,339.2183658995936,342.9432507224446
333.15,339.1037880333471,343.00567308505885
333.15,339.1512322057522,342.9953629869861
333.15,339.1409760924646,342.6985915647388
333.15,338.85445366822444,342.87979003191117
333.15,338.971065426777,342.7908269152389
333.15,338.9898154813559,342.7132863355996
333.15,338.8643697092417,342.6991467753613
333.15,338.72303937564385,342.81839737132174
333.15,338.57624807348594,342.74788646624836
333.15,338.6966333451127,342.6016324013423
333.15,338.3731817559236,342.53450990130773
333.15,338.54028055860243,342.39779507850056
333.15,338.5406678202599,342.4835390784433
333.15,338.45434458584197,342.38277422240697
333.15,338.43716205041414,342.35746877562
333.15,338.4087565671563,342.4826476213392
333.15,338.26059819241055,342.47474987797676
333.15,338.3303190449386,342.24572272454145
333.15,338.2068469614865,342.1932648468367
333.15,338.206558869679,342.0584401359783
333.15,338.2708203868266,342.1363724861183
333.15,338.0363680212314,342.0090117852596
333.15,338.0089589434754,342.0955912634154
333.15,338.12041978568857,341.90383078954187
333.15,337.85736835020873,341.9680710855709
333.15,337.9557601819814,341.89016554628773
333.15,337.9469106442399,341.76623975934643
333.15,338.0381622947479,341.5823041182457
333.15,337.8777084560873,341.7375530627303
333.15,337.91275928027596,341.5982492929154
333.15,337.79969780615255,341.50997755414346
333.15,337.85470221684665,341.7128162459959
333.15,337.7725467395929,341.45033277974693
333.15,337.7219202045018,341.3270833295274
333.15,337.84617746254406,341.2175916902079
333.15,337.88020831492076,341.2063328677707
333.15,337.51766951788653,341.0053639164564
333.15,337.69416880548465,340.9574896029381
333.15,337.65393893403575,340.9801073332933
333.15,337.73555002640325,340.87773745336204
333.15,337.43724307004055,340.91188499704555
333.15,337.6849751621664,340.8910071016121
333.15,337.51008113741165,340.65109299424887
333.15,337.5099266839823,340.71364472045894
333.15,337.6584213906214,340.5793917066356
333.15,337.3524599165816,340.68516295306983
333.15,337.4397672479597,340.3991025822741
333.15,337.48535094834745,340.35367344741866
333.15,337.4487430281836,340.19885745358044
333.15,337.189826031182,340.2814699345548
333.15,337.3303443113481,340.36315472475
333.15,337.2713695412859,340.1153283852207
333.15,337.195703246034,340.16577101799203
333.15,337.0919179464762,340.2117952750188
333.15,337.29116644437596,340.08048174806373
333.15,337.4057793529209,339.94763509030474
333.15,337.079404286336,339.80766002664876
333.15,337.0421828453682,339.790652196576
333.15,337.1810031901881,339.6678264745945
333.15,337.1662564793084,339.6744912743971
333.15,337.2855683252821,339.70486160534944
333.15,336.9290789002192,339.6212146138358
333.15,337.09183569881213,339.42828265001765
333.15,336.88337096568864,339.70102585488223
333.15,336.8692060466873,339.4870596593859
333.15,336.8821330894516,339.4306504153646
333.15,336.93343774534424,339.0938320227154
333.15,336.94396520007245,339.17359360545083
333.15,336.8972908582652,339.19761117874896
333.15,336.78180719862803,339.1722694182305
333.15,336.89480689085457,339.0746443657436
333.15,336.872649652929,339.04180704900364
333.15,336.92159010279977,339.0769020086533
333.15,336.9063559370666,338.932087385917
333.15,336.718860731222,338.97310059017633
333.15,336.7022179896534,339.07776285408545
333.15,336.6149789904471,338.8692381705173
333.15,336.50399796617444,338.7216176244771
333.15,336.7158470297796,338.84341566692524
333.15,336.63830917512206,338.7526488624118
333.15,336.42937879704374,338.5240526511827
333.15,336.5171080791226,338.6844949982562
333.15,336.6272739883118,338.6494981193144
333.15,336.5167369548984,338.6301955001365
333.15,336.51113755783126,338.5157422542953
333.15,336.6371537490196,338.5787384679571
333.15,336.43881728219367,338.59191263367103
333.15,336.4422392172738,338.4034192479008
333.15,336.40078999306854,338.30612967334156
333.15,336.32144950547723,338.2788439842586
333.15,336.44010205724027,338.3745064791214
333.15,336.26198367893846,338.3388380492955
333.15,336.1329045917501,338.20579223043876
333.15,336.3286501426313,338.15333746646087
333.15,336.326321636665,338.14746810680464
333.15,336.1345161799077,338.12899235068403
333.15,336.35596088767295,338.25629780430125
333.15,336.3494499070678,338.06950544007526
333.15,336.2798844051146,337.87221286426046
333.15,336.19475129682,337.6944888898467
333.15,336.17981063449184,338.032003145216
333.15,336.2528772176895,338.01200295840016
333.15,336.22804016562674,338.0642218422312
333.15,336.0684041953345,337.91949306914336
333.15,336.21342276624904,337.9059190733665
333.15,335.9710508178044,337.9550342234142
333.15,336.2741025563486,337.779747126363
333.15,336.27298054656984,337.8787609656213
333.15,336.0873666796241,337.73917162315985
333.15,336.15059971052597,337.79099051203553
333.15,336.05715761619524,337.6397865881694
333.15,336.1913871458539,337.7392963980277
333.15,336.1716445951628,337.6809698867515
333.15,335.99999349297616,337.8056011314675
333.15,336.03540331826594,337.44843010275696
333.15,336.04028236460675,337.51965660598887
333.15,335.95520746321375,337.68973889146633
333.15,336.0594517294183,337.50566103279857
333.15,336.05433896064113,337.5353256199184
333.15,335.8370340110307,337.4807423052022
333.15,336.161641983685,337.44582499027604
333.15,335.8825295566533,337.45711323328095
333.15,335.95332493383677,337.4284228930648
333.15,335.63560681307473,337.2967173930568
333.15,335.6816178757493,337.2381867246153
333.15,335.9666422498334,337.4638565499802
333.15,335.82084632501545,337.2716453619024
333.15,335.8976958720971,337.3099803090512
333.15,335.81047526247113,337.39126583936417
333.15,335.80756270576194,337.0665535654249
333.15,335.8350749432372,337.1374272381875
333.15,335.70311168341834,337.2105665972326
333.15,335.7308120610795,337.11474160719877
333.15,335.5207699104391,337.0331417178473
333.15,335.56032481520924,337.1591134280708
333.15,335.6555969900658,337.2032745876727
333.15,335.66711223796915,337.15725885580184
333.15,335.66245361637084,337.1877050583985
333.15,335.6238713259383,336.9354801252803
333.15,335.43002746089024,337.12766873098184
333.15,335.45695127165027,336.9658947485069
333.15,335.5179087011314,336.9601173285889
333.15,335.4959549506073,336.8912423973457
333.15,335.4961814310317,336.9628715252704
333.15,335.51638739613367,337.0160256278913
333.15,335.583989516085,336.7915524265696
333.15,335.4432175331356,336.84414067046333
333.15,335.63322386729976,336.88644423380197
333.15,335.42017659996554,336.74658652138095
333.15,335.5371548055815,336.94953291052803
333.15,335.4206475212553,336.7377272770625
333.15,335.3018187347193,336.79400175458426
333.15,335.2337485232388,336.615759228523
333.15,335.32156188273564,336.64977877635226
333.15,335.4312579866926,336.9091186125114
333.15,335.4677737136643,336.63737232581616
333.15,335.3856106665136,336.5614540505451
333.15,334.987727443171,336.5791524226547
333.15,335.1644043529623,336.6601692601242
333.15,335.1526194908621,336.654821822737
333.15,335.2160429293769,336.68682342593223
333.15,335.306189323466,336.5182362763283
333.15,335.12452657813407,336.5027002908956
333.15,335.3067013015107,336.4841835574198
333.15,335.2406526324543,336.4168332921007
333.15,335.2165205339701,336.4697944564467
333.15,335.2420619104344,336.46076939132774
333.15,335.0780078586259,336.30963972522244
333.15,335.0790474449881,336.4369310093175
333.15,335.3677751556557,336.3482955540021
333.15,335.1595520631395,336.3768663303488
333.15,335.11863105871123,336.2939775817322
333.15,335.05900172519654,336.4869334002087
333.15,335.19204241971266,336.25058236210356
333.15,335.06662755832804,336.3532274697139
333.15,335.04074286585154,336.177370684708
333.15,335.09159618584187,336.3057351734368
333.15,335.1402901774559,336.6030555902179
333.15,335.1448957826039,336.31236758951076
333.15,335.1624714583209,336.0889200692761
333.15,335.0713096342384,336.1509549330133
333.15,335.0141456232272,336.2753020909593
333.15,335.07894626634896,336.07579554706297
333.15,334.98002298333563,336.1877159569101
333.15,334.8267555350643,336.16427822973066
333.15,335.05510298088575,336.1206016606735
333.15,334.9688642145048,336.21705254448995
333.15,335.0112656251799,336.056446792517
333.15,334.8791516508267,336.147678704484
333.15,335.0157827928036,336.0951979109278
333.15,334.87746331394544,336.1073937144344
333.15,334.69875604867997,335.97189253046395
333.15,334.71860135939147,336.1417880292262
333.15,334.8468470844408,336.21967481512695
333.15,334.7975797722072,335.8089117923805
333.15,334.8727866517743,336.0727764412448
333.15,334.9872330683711,336.0008880247883
333.15,334.6989345696364,335.80339201739775
333.15,334.89126432085664,336.0251509116355
333.15,334.861952238719,335.85248000866045
333.15,334.86706031219865,335.93631526072744
333.15,334.90570291733303,335.8802888895841
333.15,334.90433405940655,335.8411969141275
333.15,335.0010417475226,335.9028850174191
333.15,334.83592291247965,335.90908998487294
333.15,334.6583100669917,335.9532124259823
333.15,334.62170952313295,335.78109025567596
333.15,334.6962748434662,335.8667141688745
333.15,334.73478622365207,335.8635604783345
333.15,334.92788001330206,335.6861635905938
333.15,334.55462570494245,335.6535031112222
333.15,334.5033817115617,335.5800057530493
333.15,334.7340101699665,335.70316022329905
333.15,334.6991006160724,335.61792235038376
333.15,334.6369184665187,335.52727027046296
333.15,334.71149104323143,335.7087593442142
333.15,334.5610688907244,335.65357051592343
333.15,334.83465349357397,335.6002693444549
333.15,334.6788940789577,335.74663247496636
333.15,334.69666584570916,335.4833068611042
333.15,334.6932645897693,335.7181091234329
333.15,334.54926606630636,335.5513597337568
333.15,334.6095693449606,335.62049263085163
333.15,334.56688212466247,335.64825536072743
333.15,334.44754886058604,335.5081104820018
333.15,334.5813831735897,335.6056656199413
333.15,334.46482464258463,335.4629763168028
333.15,334.57499516948366,335.6112676955911
333.15,334.3247743336082,335.6581238722708
333.15,334.6004002756231,335.37874807548667
333.15,334.63826701020326,335.4933002541473
333.15,334.6408369775829,335.5700463202255
333.15,334.39828745323973,335.32941504681895
333.15,334.46711758694283,335.4067480521969
333.15,334.4757992411286,335.38879663809485
333.15,334.508980101658,335.449920000731
333.15,334.2953968085886,335.3670935283106
333.15,334.5319155136152,335.44761195628433
333.15,334.45211536425074,335.2705345173417
333.15,334.3611038150858,335.2147018196596
333.15,334.4818958533275,335.5025898107833
333.15,334.4388013039208,335.164383572891
333.15,334.30870271898135,335.1524650718908
333.15,334.22382062495893,335.16355842609534
333.15,334.2868064281422,335.2257295802446
333.15,334.45196859745704,335.24804852769995
333.15,334.447897945173,335.3189750668076
333.15,334.51616317707675,335.254236560754
333.15,334.3818175267994,335.08659949183686
333.15,334.36601222097005,335.2674731710333
333.15,334.40961027029937,335.07210391358683
333.15,334.3565670666963,335.2270651946139
333.15,334.30329107242164,335.07479748065293
333.15,334.2113104892291,335.31622940803874
333.15,334.3732210214098,335.07988034602266
333.15,334.147921916775,335.16158133847586
333.15,334.08331576224674,335.0233540988446
333.15,334.3225932568468,335.25855310172886
333.15,334.2665198145343,335.0044281496149
333.15,334.1498420105753,335.0952629975141
333.15,334.1699841379043,335.0649238535403
333.15,334.2454836231569,335.102909041071
333.15,334.3009495508684,335.1231528836425
333.15,334.24173120073806,334.9116082255549
333.15,334.33156445238933,334.81433262829347
333.15,334.31914246094107,335.0051965764824
333.15,334.1241746455418,335.0730011630384
333.15,334.30540584687395,335.0780221167811
333.15,334.23172458622344,334.9775759858377
333.15,334.39352559106595,335.0588050691047
333.15,334.07346457654296,335.0339636470664
333.15,334.0073895469323,334.93561494028404
333.15,334.100214404864,334.7131819460208
333.15,334.10052928623,334.81950267510575
333.15,334.28797426721604,334.9061983072204
333.15,334.1597168413506,334.7900642446524
333.15,334.1545044399709,335.13124233762454
333.15,334.2533105256963,334.86239278382607
333.15,334.1784074788142,334.7944433432434
333.15,334.23518868614644,334.78969653229615
333.15,334.1145033563613,334.8382493280004
333.15,334.1259748810508,334.88801549848574
333.15,334.08715157595515,334.8491125099703
333.15,333.97813013613376,334.6996093817231
333.15,334.18648357888213,334.8099890434302
333.15,334.3045938715464,334.91312889293124
333.15,334.1727805587131,334.8789977135567
333.15,334.09472714574173,334.83578281486257
333.15,333.9301588978029,334.7973135014758
333.15,334.01889553074284,334.6904724575196
333.15,334.04083228120703,334.70072177469837
333.15,333.91966386562547,334.9075756879586
333.15,334.092673806675,334.7689574042703
333.15,334.0095112366211,334.84916338898836
333.15,334.1157353905216,334.77773793924115
333.15,334.0032954759632,334.7446144008236
333.15,334.0740233493978,334.8546760321426
333.15,334.078063926817,334.76142012021626
333.15,333.9765367240424,334.61896515976576
333.15,334.05060184857507,334.731548959347
333.15,333.95851545617694,334.691857849152
333.15,334.101598941466,334.74679176226834
333.15,333.9555182925706,334.5885865711821
333.15,334.028325606575,334.7203148840502
333.15,334.0916735219817,334.5801738918886
333.15,334.08051490404165,334.6135631051982
333.15,334.1215531471555,334.57914471262234
333.15,334.0295363696803,334.7623942702078
333.15,333.869763052492,334.64178310305005
333.15,333.9356817080491,334.6712183490345
333.15,334.04529610119295,334.72346759835216
333.15,333.9616263638384,334.5751069438966
333.15,334.0323079673464,334.4694505443822
333.15,334.1824353575106,334.61048684193196
333.15,333.9150692672388,334.6696739114359
333.15,333.9013541224532,334.5322997417806
333.15,334.13625226754215,334.61894593330436
333.15,333.9570124470821,334.5416964538226
333.15,334.0079242598355,334.4958094299824
333.15,333.9518032726536,334.5159487033887
333.15,333.9794228727008,334.36498930552335
333.15,334.0487509709502,334.4652172556617
333.15,334.0149577589801,334.57832209974964
333.15,333.8727377004849,334.5090914102119
333.15,334.0919262127591,334.4628578400851
333.15,333.8748594575152,334.4648360030542
333.15,334.0324157598284,334.5190946279615
333.15,333.9031248298003,334.4100484322912
333.15,334.0184358236922,334.44204864392964
333.15,334.01847152373824,334.42176058856927
333.15,333.8090215423776,334.45847420502975
333.15,333.95169009280215,334.5907388113527
333.15,333.6939117057059,334.3600766054959
333.15,333.77828815998333,334.34736479119596
333.15,333.8105576155948,334.3708644918573
333.15,334.02767306557024,334.38833577390756
333.15,333.76126889926735,334.4717706717445
333.15,333.770056420494,334.2885086852071
333.15,333.7446993769894,334.3123542572692
333.15,333.76124964058533,334.59633391863065
333.15,333.70830355726224,334.204357067174
333.15,333.885166226331,334.321351651069
333.15,333.82671675655126,334.2590968424655
333.15,333.96554869188367,334.38577845601037
333.15,333.9642440584278,334.4045221709789
333.15,333.741579314899,334.1874609937671
333.15,333.8443811068472,334.27198213254724
333.15,333.9250341239776,334.4400001856063
333.15,333.8267257748699,334.2223326303517
333.15,333.86417107944374,334.3766101032794
333.15,333.6621827590713,334.33539677053574
333.15,333.69340437097,334.2103725935756
333.15,333.86850022324757,334.0861201298166
333.15,333.7803134230706,334.3545344337878
333.15,333.75519477562744,334.19728245004444
333.15,333.8352568995097,334.2915919874907
333.15,334.02489220742694,334.200319092642
333.15,333.68326199425593,334.35060866623917
333.15,333.6764736982312,334.1832482094882
333.15,333.71169648870625,334.1988548543605
333.15,333.6409229598974,334.2812408072902
333.15,333.76336152953854,334.1517849082249
333.15,333.7798622940911,334.28290462979703
333.15,333.68496882289816,334.324369075083
333.15,333.9272525161919,334.18740960064156
333.15,333.7460256855524,334.2319098627002
333.15,333.6876258672734,334.0916401055632
333.15,333.58162369719014,334.17721821874335
333.15,333.76525940238776,334.1891451065767
333.15,333.79049074321983,334.1788869778345
333.15,333.7195797413885,334.22888740857616
333.15,333.54405815722487,334.02839454610995
333.15,333.5540320019992,334.25542020612113
333.15,333.6835192287114,333.9220560842332
333.15,333.7619350125326,334.1295403203429
333.15,333.76673963864624,334.087926455133
333.15,333.6303225879215,334.12965459408895
333.15,333.67545159763324,334.1016490455971
333.15,333.7798022090342,334.00296095067995
333.15,333.6118713311939,334.03839153602246
333.15,333.57653760043263,334.0766332472769
