Time (sec),Q1,Q2,T1,T2,Set Point 1 (degC),Set Point 2 (degC)
65.00000000,80.00000000,0.00000000,34.54013411,23.67920958,23.00000000,23.00000000
66.00000000,80.00000000,0.00000000,34.81157233,23.70847828,23.00000000,23.00000000
67.00000000,80.00000000,0.00000000,35.08242554,23.73832965,23.00000000,23.00000000
68.00000000,80.00000000,0.00000000,35.35263308,23.76875768,23.00000000,23.00000000
69.00000000,80.00000000,0.00000000,35.62213752,23.79975617,23.00000000,23.00000000
70.00000000,80.00000000,0.00000000,35.89088448,23.83131883,23.00000000,23.00000000
71.00000000,80.00000000,0.00000000,36.15882256,23.86343927,23.00000000,23.00000000
72.00000000,80.00000000,0.00000000,36.42590314,23.89611096,23.00000000,23.00000000
73.00000000,80.00000000,0.00000000,36.69208030,23.92932731,23.00000000,23.00000000
74.00000000,80.00000000,0.00000000,36.95731072,23.96308161,23.00000000,23.00000000
75.00000000,80.00000000,0.00000000,37.22155351,23.99736709,23.00000000,23.00000000
76.00000000,80.00000000,0.00000000,37.48477016,24.03217692,23.00000000,23.00000000
77.00000000,80.00000000,0.00000000,37.74692438,24.06750419,23.00000000,23.00000000
78.00000000,80.00000000,0.00000000,38.00798206,24.10334193,23.00000000,23.00000000
79.00000000,80.00000000,0.00000000,38.26791113,24.13968313,23.00000000,23.00000000
80.00000000,80.00000000,0.00000000,38.52668150,24.17652074,23.00000000,23.00000000
81.00000000,80.00000000,0.00000000,38.78426496,24.21384765,23.00000000,23.00000000
82.00000000,80.00000000,0.00000000,39.04063508,24.25165674,23.00000000,23.00000000
83.00000000,80.00000000,0.00000000,39.29576715,24.28994085,23.00000000,23.00000000
84.00000000,80.00000000,0.00000000,39.54963812,24.32869281,23.00000000,23.00000000
85.00000000,80.00000000,0.00000000,39.80222648,24.36790541,23.00000000,23.00000000
86.00000000,80.00000000,0.00000000,40.05351226,24.40757147,23.00000000,23.00000000
87.00000000,80.00000000,0.00000000,40.30347688,24.44768376,23.00000000,23.00000000
88.00000000,80.00000000,0.00000000,40.55210316,24.48823507,23.00000000,23.00000000
89.00000000,80.00000000,0.00000000,40.79937520,24.52921819,23.00000000,23.00000000
90.00000000,80.00000000,0.00000000,41.04527835,24.57062591,23.00000000,23.00000000
91.00000000,80.00000000,0.00000000,41.28979920,24.61245104,23.00000000,23.00000000
92.00000000,80.00000000,0.00000000,41.53292544,24.65468643,23.00000000,23.00000000
93.00000000,80.00000000,0.00000000,41.77464584,24.69732490,23.00000000,23.00000000
94.00000000,80.00000000,0.00000000,42.01495015,24.74035930,23.00000000,23.00000000
95.00000000,80.00000000,0.00000000,42.25382913,24.78378250,23.00000000,23.00000000
96.00000000,80.00000000,0.00000000,42.49127449,24.82758738,23.00000000,23.00000000
97.00000000,80.00000000,0.00000000,42.72727883,24.87176685,23.00000000,23.00000000
98.00000000,80.00000000,0.00000000,42.96183559,24.91631386,23.00000000,23.00000000
99.00000000,80.00000000,0.00000000,43.19493904,24.96122138,23.00000000,23.00000000
100.00000000,80.00000000,0.00000000,43.42658422,25.00648241,23.00000000,23.00000000
101.00000000,80.00000000,0.00000000,43.65676692,25.05209000,23.00000000,23.00000000
102.00000000,80.00000000,0.00000000,43.88548363,25.09803722,23.00000000,23.00000000
103.00000000,80.00000000,0.00000000,44.11273151,25.14431719,23.00000000,23.00000000
104.00000000,80.00000000,0.00000000,44.33850836,25.19092306,23.00000000,23.00000000
105.00000000,80.00000000,0.00000000,44.56281259,25.23784802,23.00000000,23.00000000
106.00000000,80.00000000,0.00000000,44.78564319,25.28508532,23.00000000,23.00000000
107.00000000,80.00000000,0.00000000,45.00699969,25.33262825,23.00000000,23.00000000
108.00000000,80.00000000,0.00000000,45.22688217,25.38047013,23.00000000,23.00000000
109.00000000,80.00000000,0.00000000,45.44529118,25.42860435,23.00000000,23.00000000
110.00000000,80.00000000,0.00000000,45.66222776,25.47702432,23.00000000,23.00000000
111.00000000,80.00000000,0.00000000,45.87769340,25.52572352,23.00000000,23.00000000
112.00000000,80.00000000,0.00000000,46.09169001,25.57469549,23.00000000,23.00000000
113.00000000,80.00000000,0.00000000,46.30421991,25.62393380,23.00000000,23.00000000
114.00000000,80.00000000,0.00000000,46.51528579,25.67343207,23.00000000,23.00000000
115.00000000,80.00000000,0.00000000,46.72489075,25.72318399,23.00000000,23.00000000
116.00000000,80.00000000,0.00000000,46.93303817,25.77318331,23.00000000,23.00000000
117.00000000,80.00000000,0.00000000,47.13973182,25.82342380,23.00000000,23.00000000
118.00000000,80.00000000,0.00000000,47.34497573,25.87389931,23.00000000,23.00000000
119.00000000,80.00000000,0.00000000,47.54877427,25.92460375,23.00000000,23.00000000
120.00000000,80.00000000,0.00000000,47.75113205,25.97553107,23.00000000,23.00000000
121.00000000,80.00000000,0.00000000,47.95205395,26.02667528,23.00000000,23.00000000
122.00000000,80.00000000,0.00000000,48.15154512,26.07803047,23.00000000,23.00000000
123.00000000,80.00000000,0.00000000,48.34961093,26.12959074,23.00000000,23.00000000
124.00000000,80.00000000,0.00000000,48.54625696,26.18135030,23.00000000,23.00000000
125.00000000,80.00000000,0.00000000,48.74148901,26.23330337,23.00000000,23.00000000
126.00000000,80.00000000,0.00000000,48.93531308,26.28544427,23.00000000,23.00000000
127.00000000,80.00000000,0.00000000,49.12773535,26.33776735,23.00000000,23.00000000
128.00000000,80.00000000,0.00000000,49.31876215,26.39026703,23.00000000,23.00000000
129.00000000,80.00000000,0.00000000,49.50840002,26.44293779,23.00000000,23.00000000
130.00000000,80.00000000,0.00000000,49.69665561,26.49577415,23.00000000,23.00000000
131.00000000,80.00000000,0.00000000,49.88353573,26.54877071,23.00000000,23.00000000
132.00000000,80.00000000,0.00000000,50.06904732,26.60192213,23.00000000,23.00000000
133.00000000,80.00000000,0.00000000,50.25319744,26.65522312,23.00000000,23.00000000
134.00000000,80.00000000,0.00000000,50.43599329,26.70866844,23.00000000,23.00000000
135.00000000,80.00000000,0.00000000,50.61744213,26.76225291,23.00000000,23.00000000
136.00000000,80.00000000,0.00000000,50.79755137,26.81597144,23.00000000,23.00000000
137.00000000,80.00000000,0.00000000,50.97632849,26.86981896,23.00000000,23.00000000
138.00000000,80.00000000,0.00000000,51.15378104,26.92379047,23.00000000,23.00000000
139.00000000,80.00000000,0.00000000,51.32991667,26.97788104,23.00000000,23.00000000
140.00000000,80.00000000,0.00000000,51.50474310,27.03208578,23.00000000,23.00000000
141.00000000,80.00000000,0.00000000,51.67826810,27.08639987,23.00000000,23.00000000
142.00000000,80.00000000,0.00000000,51.85049953,27.14081855,23.00000000,23.00000000
143.00000000,80.00000000,0.00000000,52.02144528,27.19533711,23.00000000,23.00000000
144.00000000,80.00000000,0.00000000,52.19111328,27.24995089,23.00000000,23.00000000
145.00000000,80.00000000,0.00000000,52.35951153,27.30465531,23.00000000,23.00000000
146.00000000,80.00000000,0.00000000,52.52664806,27.35944583,23.00000000,23.00000000
147.00000000,80.00000000,0.00000000,52.69253093,27.41431797,23.00000000,23.00000000
148.00000000,80.00000000,0.00000000,52.85716823,27.46926729,23.00000000,23.00000000
149.00000000,80.00000000,0.00000000,53.02056808,27.52428945,23.00000000,23.00000000
150.00000000,80.00000000,0.00000000,53.18273861,27.57938011,23.00000000,23.00000000
151.00000000,80.00000000,0.00000000,53.34368799,27.63453503,23.00000000,23.00000000
152.00000000,80.00000000,0.00000000,53.50342438,27.68975000,23.00000000,23.00000000
153.00000000,80.00000000,0.00000000,53.66195596,27.74502088,23.00000000,23.00000000
154.00000000,80.00000000,0.00000000,53.81929093,27.80034358,23.00000000,23.00000000
155.00000000,80.00000000,0.00000000,53.97543746,27.85571405,23.00000000,23.00000000
156.00000000,80.00000000,0.00000000,54.13040376,27.91112831,23.00000000,23.00000000
157.00000000,80.00000000,0.00000000,54.28419801,27.96658243,23.00000000,23.00000000
158.00000000,80.00000000,0.00000000,54.43682840,28.02207253,23.00000000,23.00000000
159.00000000,80.00000000,0.00000000,54.58830311,28.07759479,23.00000000,23.00000000
160.00000000,80.00000000,0.00000000,54.73863031,28.13314543,23.00000000,23.00000000
161.00000000,80.00000000,0.00000000,54.88781817,28.18872073,23.00000000,23.00000000
162.00000000,80.00000000,0.00000000,55.03587481,28.24431701,23.00000000,23.00000000
163.00000000,80.00000000,0.00000000,55.18280839,28.29993066,23.00000000,23.00000000
164.00000000,80.00000000,0.00000000,55.32862699,28.35555811,23.00000000,23.00000000
165.00000000,80.00000000,0.00000000,55.47333872,28.41119585,23.00000000,23.00000000
166.00000000,80.00000000,0.00000000,55.61695164,28.46684039,23.00000000,23.00000000
167.00000000,80.00000000,0.00000000,55.75947379,28.52248832,23.00000000,23.00000000
168.00000000,80.00000000,0.00000000,55.90091320,28.57813628,23.00000000,23.00000000
169.00000000,80.00000000,0.00000000,56.04127786,28.63378094,23.00000000,23.00000000
170.00000000,80.00000000,0.00000000,56.18057572,28.68941903,23.00000000,23.00000000
171.00000000,80.00000000,0.00000000,56.31881473,28.74504732,23.00000000,23.00000000
172.00000000,80.00000000,0.00000000,56.45600279,28.80066263,23.00000000,23.00000000
173.00000000,80.00000000,0.00000000,56.59214776,28.85626184,23.00000000,23.00000000
174.00000000,80.00000000,0.00000000,56.72725750,28.91184186,23.00000000,23.00000000
175.00000000,80.00000000,0.00000000,56.86133979,28.96739966,23.00000000,23.00000000
176.00000000,80.00000000,0.00000000,56.99440241,29.02293224,23.00000000,23.00000000
177.00000000,80.00000000,0.00000000,57.12645309,29.07843666,23.00000000,23.00000000
178.00000000,80.00000000,0.00000000,57.25749952,29.13391001,23.00000000,23.00000000
179.00000000,80.00000000,0.00000000,57.38754937,29.18934944,23.00000000,23.00000000
180.00000000,80.00000000,0.00000000,57.51661024,29.24475213,23.00000000,23.00000000
181.00000000,80.00000000,0.00000000,57.64468973,29.30011533,23.00000000,23.00000000
182.00000000,80.00000000,0.00000000,57.77179535,29.35543629,23.00000000,23.00000000
183.00000000,80.00000000,0.00000000,57.89793462,29.41071235,23.00000000,23.00000000
184.00000000,80.00000000,0.00000000,58.02311499,29.46594086,23.00000000,23.00000000
185.00000000,80.00000000,0.00000000,58.14734387,29.52111922,23.00000000,23.00000000
186.00000000,80.00000000,0.00000000,58.27062863,29.57624488,23.00000000,23.00000000
187.00000000,80.00000000,0.00000000,58.39297661,29.63131532,23.00000000,23.00000000
188.00000000,80.00000000,0.00000000,58.51439507,29.68632807,23.00000000,23.00000000
189.00000000,80.00000000,0.00000000,58.63489128,29.74128069,23.00000000,23.00000000
190.00000000,80.00000000,0.00000000,58.75447241,29.79617080,23.00000000,23.00000000
191.00000000,80.00000000,0.00000000,58.87314563,29.85099603,23.00000000,23.00000000
192.00000000,80.00000000,0.00000000,58.99091804,29.90575408,23.00000000,23.00000000
193.00000000,80.00000000,0.00000000,59.10779671,29.96044267,23.00000000,23.00000000
194.00000000,80.00000000,0.00000000,59.22378864,30.01505957,23.00000000,23.00000000
195.00000000,80.00000000,0.00000000,59.33890081,30.06960256,23.00000000,23.00000000
